ID,product,amount,interest,installment,period,adminfee,servicefee,totinterest,paymentmethod,gender,marital_status,age,Employer,jobtitle,income,DV,age_group,income_group,total_fees,amount_to_totint,income_to_install,amount_to_install,income_to_age,amount_to_totfees
1,Study Loan,39999,23,1629.75,36,735,42,16425.56,Government Payroll,Female,Married,53,Mpumalanga Education,Teacher,25984.44,0,"(52.0, 100.0]","(25000.0, 30000.0]",777,2.43501987,15.93404262,24.52797792,481.1933333,51.4125964
2,Study Loan,39999,23,1630.73,36,735,42,16459.91,Government Payroll,Female,Married ANC,46,Limpopo Province Education Department,Teacher,26979.94,0,"(44.0, 49.0]","(25000.0, 30000.0]",777,2.429938564,16.53456148,24.51324668,574.0412766,51.4125964
3,Study Loan,39999,23,1637.4,36,735,42,16700.59,Government Payroll,Male,Married,54,Sap,WARRANT OFFICER,32911.44,0,"(52.0, 100.0]","(30000.0, 35000.0]",777,2.394921681,20.08754883,24.41345215,598.3898182,51.4125964
4,Study Loan,39999,23,1637.4,36,735,42,16700.59,Government Payroll,Female,Married,53,Gauteng Department Education,EDUCATOR,29945.94,0,"(52.0, 100.0]","(25000.0, 30000.0]",777,2.394921681,18.27755127,24.41345215,554.5544444,51.4125964
5,Study Loan,39999,23,1625.01,36,735,42,16255.09,Government Payroll,Male,Married ANC,55,Limpopo Province Education Department,Teacher,32927.19,0,"(52.0, 100.0]","(30000.0, 35000.0]",777,2.460554783,20.25029981,24.59947971,587.9855357,51.4125964
6,Study Loan,39999,23,1623.13,36,735,42,16186.39,Government Payroll,Female,Married,50,Western Cape Health,NURSE,39403.94,0,"(49.0, 52.0]","(35000.0, 10000000000.0]",777,2.470997486,24.26156773,24.62795466,772.6262745,51.4125964
7,Study Loan,39999,23,1626.89,36,735,42,16322.59,Government Payroll,Female,Single,49,Mpumalanga Education,EDUCATOR,29107.94,0,"(44.0, 49.0]","(25000.0, 30000.0]",777,2.450380094,17.88077819,24.57107053,582.1588,51.4125964
8,Study Loan,39999,23,1624.08,36,735,42,16220.72,Government Payroll,Female,Single,45,Gauteng Department Education,EDUCATOR,24904.97,0,"(44.0, 49.0]","(17000.0, 25000.0]",777,2.465768118,15.3253809,24.61355749,541.4123913,51.4125964
9,Study Loan,39999,23,1639.29,36,735,42,16768.69,Government Payroll,Male,Married,55,North West Public Works Road & Trafic Management,other,29477.19,0,"(52.0, 100.0]","(25000.0, 30000.0]",777,2.385196149,17.97071859,24.38532211,526.3783929,51.4125964
10,Study Loan,39999,23,1634.53,36,735,42,16597.25,Government Payroll,Female,Married,53,Eastern Cape Education Department,EDUCATOR,31103.19,0,"(52.0, 100.0]","(30000.0, 35000.0]",777,2.409832362,19.0171932,24.45629246,575.985,51.4125964
11,Study Loan,39999,23,1631.69,36,735,42,16494.83,Government Payroll,Female,Married,43,Sap,POLICE OFFICER,19256.25,0,"(41.0, 44.0]","(17000.0, 25000.0]",777,2.42479463,11.79418628,24.49883321,437.6420455,51.4125964
12,Study Loan,39999,23,1634.53,36,735,42,16597.25,Government Payroll,Female,Single,50,Gauteng Department Education,other,26360.94,0,"(49.0, 52.0]","(25000.0, 30000.0]",777,2.409832362,16.11767439,24.45629246,516.8811765,51.4125964
13,Study Loan,39999,23,1628.81,36,735,42,16391.22,Government Payroll,Female,Single,48,82 Office The Chief Justice,ADMINISTRATION,33585.94,0,"(44.0, 49.0]","(30000.0, 35000.0]",777,2.440120984,20.60727324,24.54212454,685.4273469,51.4125964
14,Study Loan,39999,23,1638.37,36,735,42,16735.25,Government Payroll,Female,Single,40,North West Health,NURSE,26721.36,0,"(31.0, 41.0]","(25000.0, 30000.0]",777,2.389961909,16.29977369,24.39900694,651.7404878,51.4125964
15,Study Loan,39999,23,1638.37,36,735,42,16735.25,Government Payroll,Female,Single,47,GAUTENG DEPARTMENT OF HEALTH,DOCTOR,63565.43,0,"(44.0, 49.0]","(35000.0, 10000000000.0]",777,2.389961909,38.77430354,24.39900694,1324.279792,51.4125964
16,Study Loan,39999,23,1634.53,36,735,42,16597.25,Government Payroll,Female,Married,48,EASTERN CAPE SOCIAL DEVELOPMENT SPECIAL PROGRAMMES,other,17577.44,0,"(44.0, 49.0]","(17000.0, 25000.0]",777,2.409832362,10.74724401,24.45629246,358.7232653,51.4125964
17,Study Loan,39999,23,1625.01,36,735,42,16255.09,Government Payroll,Female,Married,44,Limpopo Province Education Department,EDUCATOR,25802.85,0,"(41.0, 44.0]","(25000.0, 30000.0]",777,2.460554783,15.86881384,24.59947971,573.3966667,51.4125964
18,Study Loan,39999,23,1624.08,36,735,42,16220.72,Government Payroll,Female,Single,48,NATIONAL DEPARTMENT JUSTICE CONSTITUTIONAL DEVELOPMENT,admin,17284.94,0,"(44.0, 49.0]","(17000.0, 25000.0]",777,2.465768118,10.63636252,24.61355749,352.7538776,51.4125964
19,Study Loan,39999,23,1624.08,36,735,42,16220.72,Government Payroll,Male,Married,50,North West Health,NURSE,56806.13,0,"(49.0, 52.0]","(35000.0, 10000000000.0]",777,2.465768118,34.95589756,24.61355749,1113.845686,51.4125964
20,Study Loan,39999,23,1629.75,36,735,42,16425.56,Government Payroll,Female,Married,57,GAUTENG DEPARTMENT OF HEALTH,FINANCE MANAGER,36420.25,0,"(52.0, 100.0]","(35000.0, 10000000000.0]",777,2.43501987,22.33343554,24.52797792,627.9353448,51.4125964
21,Study Loan,39999,23,1636.45,36,735,42,16666.2,Government Payroll,Female,Single,48,Eastern Cape Education Department,EDUCATOR,31397.94,0,"(44.0, 49.0]","(30000.0, 35000.0]",777,2.399863204,19.1749,24.42761611,640.7742857,51.4125964
22,Study Loan,39999,23,1632.65,36,735,42,16529.47,Government Payroll,Female,Single,58,GAUTENG DEPARTMENT OF HEALTH,LECUTURER,40734.69,0,"(52.0, 100.0]","(35000.0, 10000000000.0]",777,2.419713414,24.93477183,24.48443669,690.4184746,51.4125964
23,Study Loan,39999,23,1630.73,36,735,42,16459.91,Government Payroll,Female,Married ANC,52,KZN PROVINCIAL GOVERNMENT OF EDUCATION,Teacher,31397.94,0,"(49.0, 52.0]","(30000.0, 35000.0]",777,2.429938564,19.24211726,24.51324668,592.4139623,51.4125964
24,Study Loan,39999,23,1636.45,36,735,42,16666.2,Government Payroll,Female,Married,56,Free State Department Education,EDUCATOR,30145.22,0,"(52.0, 100.0]","(30000.0, 35000.0]",777,2.399863204,18.40985679,24.42761611,528.8635088,51.4125964
25,Study Loan,39999,23,1631.69,36,735,42,16494.83,Government Payroll,Female,Divorced,58,Eastern Cape Department Health,Manager,42641.39,0,"(52.0, 100.0]","(35000.0, 10000000000.0]",777,2.42479463,26.11726047,24.49883321,722.7354237,51.4125964
26,Study Loan,39999,23,1622.17,36,735,42,16152.08,Government Payroll,Female,Single,38,NATIONAL DEPARTMENT JUSTICE CONSTITUTIONAL DEVELOPMENT,other,16312.1,0,"(31.0, 41.0]","(12000.0, 17000.0]",777,2.476246016,10.0495327,24.6425205,418.2589744,51.4125964
