UID,DV,Zip Code,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105
1,0,500045,SOUTH,Hyderabad,31,male,professional,married,654,40200,Yes,Yes,salaried,KESTONE INTEGRATED MARKETING SERVICES PRIVATE LIMITED,term,3511,45,100000,2360,21911,term,1,5,264,-2,47529,0,0,0,7,5.54,0,2,0,1,0,2,113,12,-2,171273,35,INACTIVE,0,0,-1,1,0,13,0,152,1,0,3,30.19,3,1,18.57,3,0,56501,52,4,48,3,14,113,0,48,-9,4,27,17,56501,52,18,1,4,0,0,51,438,5,68,107.14,3,0,1,11,159,1,0,0,50,0,2508216,0,410631,"4,10,631","9,14,974",914974,0,914974,-800,1,50,675
2,0,400076,,Mumbai,36,male,post-graduate,married,677,87000,Yes,Yes,salaried,MANAK WASTE MANAGEMENT PRIVATE LIMITED,term,6058,24,100000,2360,13566,term,1,6,274,2.36,247206,0,0,4,3,26.42,0,2,60745,1,0,2,101.38,11,0,583118,31,REVOLVER,1,0,-1,6,0,26,0,174,6,0,0,35,0,5,30.59,0,1,178064,58,6,63,11,14,-2,352509,46,100,3,70,18,178064,58,18,1,3,0,0,58,374,6,78,96.13,0,0,6,12,100,1,0,0,43,0,7706371,0,663195,"6,63,195","50,39,206",5039206,0,5039206,0,1,42,675
3,1,110059,,Delhi NCR,33,male,post-graduate,single,621,96000,Yes,Yes,salaried,EPICENTER TECHNOLOGIES PRIVATE LIMITED,term,10085,12,110000,2596,11020,term,5,4,210,12.66,210583,-2,0,-2,12,35.3,0,1,-2,0,0,3,30.23,12,0,131177,5,TRANPLUS,-2,0,-2,2,381473.5,1,668582.05,117,5,381473.5,4,3.31,5,2,1.67,0,2,73085,19,12,4,10,0,18,-2,9,48,-1,71,0,19333,20,1,0,1,97,0.14,18,264,7,58,16.5,5,668582.05,2,11,80,0,3,1,17,2646919,1856373,0,0, -   ,"9,34,517",3579524,2645007,934517,0,1,17,766
4,0,122001,,Delhi NCR,33,male,post-graduate,,782,71535,Yes,Yes,salaried,"ACCUREX SOLUTIONS PRIVATE LIMITED,",advance-salary-v2,7312,12,75000,5000,12744,advance-salary-v2,6,10,298,0.45,328856,11338,0,10,13,18.13,0,4,11338,2,0,1,93.42,12,131.3,730342,11,REVOLVER,1,0,0,6,0,19,495173.8,257,6,0,0,13.43,0,6,15.08,0,0,136572,106,4,36,15,8,104,266055,87,52,2,43,9,130250,107,12,5,4,250718,47.47,101,244,20,118,87.76,0,132775.7,6,12,182,3,5,4,89,1951001,4198630,0,280977,"2,80,977","16,89,826",3272502,1582676,1689826,-1,1,92,719
5,1,110092,,Delhi NCR,31,male,post-graduate,,731,52400,Yes,Yes,salaried,UNBOUND MARKETING PRIVATE LIMITED,term,4264,18,50000,2360,4406,term,0,0,322,-2,-2,-2,-2,-2,0,-2,-7,1,-2,0,-7,0,-2,4,-2,-2,50,INDTRM,-2,0,-1,-2,-2,9,-2,34,-2,-2,-2,53.12,-2,-2,60,-2,-2,-2,10,-2,17,1,4,-2,-2,8,-2,0,-2,4,-2,10,5,0,0,0,-2,8,-2,0,16,-2,-2,-2,-2,5,59,0,0,1,6,42000,186800,0,128774,"1,28,774","1,56,434",156434,0,156434,0,1,7,616
6,0,560098,SOUTH,Bangalore,37,male,graduate,,715,47000,Yes,Yes,salaried,EXCELGOODIES SOFTWARE PRIVATE LIMITED,advance-salary-v2,7927,15,100000,5000,16456,advance-salary-v2,1,6,306,-1,-1,-2,-1,8,14,-1,-1,0,0,1,-1,2,-1,12,-1,-1,2,NOBC,0,-1,-1,-1,164923,2,169451,147,-1,-1,-1,1.39,-1,-1,2.56,-1,-1,-1,53,-1,2,0,0,-1,164923,51,-1,0,-1,1,-1,53,1,7,0,-1,-1,51,-1,12,76,-1,-1,-1,-1,5,58,0,0,0,51,0,1108197,0,30419,"30,419","4,98,778",498778,0,498778,7269,1,52,703
7,1,110051,,Delhi NCR,31,male,graduate,,749,80848,Yes,Yes,salaried,EUROMONITOR RESEARCH AND CONSULTING (INDIA) PRIVATE LIMITED,term,4751,30,100000,2360,9601,term,2,2,324,5.21,276693,0,0,1,5,25.4,17,2,0,0,0,3,131.96,12,111.27,736670,44,RVLRPLUS,0,0,-1,4,618605,28,855539.85,168,4,393420,0,19.16,0,4,27.18,0,1,169396,34,3,32,6,8,140,421612,25,59,2,75,9,224593,34,15,4,5,393340,87.44,33,400,17,97,104.28,0,630354.85,4,12,124,3,0,1,31,969000,4223668,18052,355705,"3,73,757","26,42,445",3608522,966077,2642445,0,1,31,664
8,1,410206,,Navi Mumbai,36,male,graduate,,788,110567,Yes,Yes,salaried,UST GLOBAL TECHNOLOGY SERVICES (INDIA) PRIVATE LIMITED,advance-salary-v2,9422,15,100000,5000,14183,advance-salary-v2,0,-2,263,-2,-2,-2,0,1,0,0,0,-2,-2,0,0,0,3.45,4,-2,2155,3,INDTRM,-2,0,-1,0,0,1,0,7,0,2047.25,999,12.5,999,0,50,999,0,-2,29,10,1,3,1,-2,20000,26,-2,1,-2,1,-2,29,1,0,1,0,-2,28,268,0,1,2.59,999,0,0,0,114,3,0,0,9,0,542578,0,0, -   , -   ,0,0,0,0,0,9,712
9,0,560072,SOUTH,Bangalore,35,male,graduate,,669,48599,Yes,Yes,salaried,TROONDX TECHNOLOGIES PRIVATE LIMITED,advance-salary-v2,4583,16,50000,2500,6478,advance-salary-v2,1,0,338,-2,-2,0,-2,0,2,-2,-7,0,0,1,-7,2,-2,4,-2,-2,40,INDTRM,0,0,-1,-2,0,23,0,55,-2,-2,-2,47.06,-2,-2,63.89,-2,-2,-2,20,-2,24,1,8,-2,0,19,-2,1,-2,8,-2,20,8,0,1,0,-2,20,-2,3,35,-2,-2,-2,-2,6,79,0,0,0,15,0,328100,0,148204,"1,48,204","88,323",88323,0,88323,2026,0,15,672
10,1,641014,SOUTH,Coimbatore,37,male,professional,,735,53200,Yes,Yes,salaried,NTT DATA INFORMATION PROCESSING SERVICESPRIVATE LIMITED,advance-salary-v2,8753,3,25000,2500,1259,advance-salary-v2,0,2,258,-2,-2,-2,-2,-2,2,-2,0,0,-2,2,0,1,2.22,11,-2,1257,15,INDTRM,-2,0,-1,0,1194.15,1,6881.5,32,0,1194.15,999,2.94,999,0,7.14,999,-2,-2,13,12,1,5,2,-2,-2,7,-2,-7,-2,2,-2,13,2,1,-7,0,-2,10,287,2,13,0.74,999,6881.5,0,7,64,1,0,1,7,67000,719871,0,0, -   ,"4,64,066",489418,25352,464066,132841,0,8,716
