lapp_id,woe_end_use,woe_job_type,cibil_loan_closed_unsecured_count_outlier_ob_woe,cibil_loan_closed_unsecured_disbursed_amt_sum_outlier_ob_woe,cibil_loan_active_personal_loan_tenure_avg_outlier_ob_woe,total_outflow_outlier_ob_woe,woe_educational_qualification,cibil_score_outlier_ob_woe,cibil_loan_active_count_outlier_ob_woe,cibil_loan_closed_credit_card_count_outlier_ob_woe,cibil_loan_closed_consumer_loan_count_outlier_ob_woe,cibil_enquiry_na_disbursed_amt_avg_outlier_ob_woe,cibil_loan_active_disbursed_amt_sum_outlier_ob_woe,avg_3m_ncf_outlier_ob_woe,woe_preferred_agreement_method,cibil_loan_active_instalment_amount_sum_outlier_ob_woe,cibil_loan_closed_consumer_loan_disbursed_amt_avg_outlier_ob_woe,woe_employment_year,total_3m_ncf_outlier_ob_woe,cibil_loan_active_tenure_avg_outlier_ob_woe,crif_loans_to_enquiries_outlier_ob_woe,cibil_loan_active_overdue_amt_sum_outlier_ob_woe,cibil_loan_closed_personal_loan_tenure_avg_outlier_ob_woe,woe_home_stay_duration,no_of_dependents_outlier_ob_woe,avg_3m_other_debit_sum_outlier_ob_woe,age_outlier_ob_woe,cibil_loan_closed_secured_tenure_avg_outlier_ob_woe,shift_1m_upi_credit_sum_outlier_ob_woe,non_financial_credit_score_outlier_ob_woe,crif_loan_closed_instalment_amount_sum_outlier_ob_woe,total_3m_upi_credit_sum_outlier_ob_woe,avg_3m_emi_debit_sum_outlier_ob_woe,cibil_loans_to_enquiries_outlier_ob_woe,total_3m_emi_debit_sum_outlier_ob_woe,employment_duration_outlier_ob_woe,cibil_loan_active_current_bal_sum_outlier_ob_woe,avg_3m_closing_balance_outlier_ob_woe,cibil_loan_active_disbursed_amt_avg_outlier_ob_woe,woe_kyc_method,trend_m2_m3_salary_credit_count_outlier_ob_woe,crif_score_outlier_ob_woe,crif_loan_active_count_outlier_ob_woe,avg_balance_m2_outlier_ob_woe,trend_m2_m3_upi_debit_sum_outlier_ob_woe,income_to_age_ratio_outlier_ob_woe,total_3m_bounce_debit_count_outlier_ob_woe,trend_m1_m2_closing_balance_outlier_ob_woe,shift_1m_other_debit_sum_outlier_ob_woe,avg_3m_credit_count_outlier_ob_woe,trend_m1_m2_pos_expense_debit_count_outlier_ob_woe,crif_loan_active_current_bal_sum_outlier_ob_woe
APP1689487362881326,5,5,13.91766555,17.96778858,20,5,12.04860544,20,19.52015528,5,5,20,20,12.56360721,20,5,5,5,12.16876606,16.8864047,5,5,5,5,5,6.748739968,18.53736925,5,15.77830219,5,5,20,5,18.11592958,5,5,19.30591987,17.36898549,20,5,5,5,5,7.200775004,5,5,20,20,5,5.423861422,20,5
APP1690668850465502,5,5,11.14456744,13.95006173,5,5,15.86364706,5,18.5471797,5,5,5,20,5,5,20,5,5,5,16.8864047,5,18.34296548,17.71355162,5,20,5,18.53736925,20,5,5,5,5,6.068468637,20,6.049953781,5,19.30591987,5,20,5,5,5,5,5,5,5,5,5,5,5.423861422,5,5
APP1688287985485340,5,5,5,5,5,5,12.04860544,20,13.16796517,5,5,20,5,11.1477103,5,5,5,5,10.3330662,5,5,5,5,5,5,6.748739968,18.53736925,5,15.77830219,5,5,5,6.068468637,19.68110896,6.049953781,5,5,20,5,5,20,5,5,20,5,5,5,5,20,5.423861422,20,5
APP1693914902016578,5,20,5,5,5,5,15.86364706,20,17.28213613,5,5,11.68392685,5,11.1477103,20,5,5,17.3372325,10.3330662,5,5,5,5,5,20,20,18.53736925,5,15.77830219,13.18769443,5,5,5,19.68110896,5,5,5,17.36898549,5,18.57076852,20,5,5,5,5,20,20,20,20,5.423861422,20,5
APP1691404772894860,5,5,5,5,5,5,6.579237652,5,13.16796517,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,20,5,18.53736925,5,5,5,5,5,6.068468637,19.68110896,6.049953781,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.423861422,5,5
APP1692669834786469,5,5,5,5,5,5,6.579237652,20,17.28213613,5,5,5,20,11.1477103,5,5,5,5,10.3330662,18.63003355,17.24945534,5,5,5,5,5,18.53736925,20,15.77830219,5,5,20,6.068468637,18.11592958,6.049953781,5,19.30591987,14.14564187,20,5,20,20,20,7.200775004,5,5,20,20,20,5.423861422,20,20
APP1685236876131343,5,5,5,5,5,5,15.86364706,19.51701368,10.93216525,5,5,5,20,11.1477103,5,5,5,5,10.3330662,5,5,5,5,5,5,6.748739968,18.53736925,5,15.77830219,5,5,20,5,18.11592958,5,5,19.30591987,20,20,5,20,20,5,20,20,5,20,20,19.52906061,5.423861422,20,20
APP1690035280705927,5,5,11.14456744,10.27747996,5,5,20,19.51701368,19.52015528,5,5,5,20,11.1477103,5,20,5,5,10.3330662,16.8864047,5,5,5,16.48176529,5,6.748739968,5,20,15.77830219,5,5,20,5,18.11592958,5,5,19.30591987,20,20,5,20,5,5,20,5,5,20,20,20,5.423861422,20,5
APP1695644754588580,5,5,5,5,5,5,15.86364706,5,5,5,5,11.68392685,5,17.30819661,20,5,5,5,17.7340479,5,5,5,5,5,20,10.11439076,18.53736925,5,15.70636525,5,5,5,5,5,5,5,5,17.36898549,5,5,5,5,5,7.200775004,5,5,20,20,5,5.423861422,20,5
APP1693378189814824,5,5,5,5,5,5,15.86364706,5,13.16796517,5,5,11.68392685,15.81486159,5,5,20,5,5,5,14.13352437,5,5,5,5,5,5,18.53736925,5,5,5,5,5,6.068468637,19.68110896,6.049953781,5,15.8713736,5,19.3821797,5,5,5,5,5,5,5,5,5,5,5.423861422,5,5
